2026-07-08T20:51:00.649Z | INFO | core.monitoring | - | - | - | runtime monitoring summary instances=1 completed=0 failed=1 error_count=1
2026-07-08T20:51:00.649Z | INFO | core.performance | 231054 | EURUSD | 100001 | performance account=231054 symbol=EURUSD magic=100001 cycle_duration_ms=224 load_duration_ms=195 analysis_duration_ms=0 decision_duration_ms=0 io_wait_ms=195 memory_rss_mb=28.69
2026-07-08T20:51:01.711Z | INFO | core.orchestrator | - | - | - | runtime cycle begin instances=1
2026-07-08T20:51:01.974Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=103711 ack_latency_ms=- data_freshness_ms=103711 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:02.025Z | WARNING | core.alerts | 231054 | EURUSD | 100001 | alert code=DATA_STALE account=231054 symbol=EURUSD magic=100001 market data stale freshness_ms=103711 threshold_ms=15000
2026-07-08T20:51:02.026Z | ERROR | core.alerts | 231054 | EURUSD | 100001 | alert code=VALIDATION_FAILURE account=231054 symbol=EURUSD magic=100001 instance cycle validation failed
2026-07-08T20:51:02.029Z | INFO | core.orchestrator | - | - | - | runtime cycle end instances=1 completed=0 failed=1
2026-07-08T20:51:02.029Z | INFO | core.monitoring | - | - | - | runtime monitoring summary instances=1 completed=0 failed=1 error_count=1
2026-07-08T20:51:02.030Z | INFO | core.performance | 231054 | EURUSD | 100001 | performance account=231054 symbol=EURUSD magic=100001 cycle_duration_ms=259 load_duration_ms=223 analysis_duration_ms=0 decision_duration_ms=0 io_wait_ms=223 memory_rss_mb=28.69
2026-07-08T20:51:03.092Z | INFO | core.orchestrator | - | - | - | runtime cycle begin instances=1
2026-07-08T20:51:03.343Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=105092 ack_latency_ms=- data_freshness_ms=105092 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:03.393Z | WARNING | core.alerts | 231054 | EURUSD | 100001 | alert code=DATA_STALE account=231054 symbol=EURUSD magic=100001 market data stale freshness_ms=105092 threshold_ms=15000
2026-07-08T20:51:03.394Z | ERROR | core.alerts | 231054 | EURUSD | 100001 | alert code=VALIDATION_FAILURE account=231054 symbol=EURUSD magic=100001 instance cycle validation failed
2026-07-08T20:51:03.397Z | INFO | core.orchestrator | - | - | - | runtime cycle end instances=1 completed=0 failed=1
2026-07-08T20:51:03.397Z | INFO | core.monitoring | - | - | - | runtime monitoring summary instances=1 completed=0 failed=1 error_count=1
2026-07-08T20:51:03.397Z | INFO | core.performance | 231054 | EURUSD | 100001 | performance account=231054 symbol=EURUSD magic=100001 cycle_duration_ms=249 load_duration_ms=220 analysis_duration_ms=0 decision_duration_ms=0 io_wait_ms=220 memory_rss_mb=28.69
2026-07-08T20:51:04.461Z | INFO | core.orchestrator | - | - | - | runtime cycle begin instances=1
2026-07-08T20:51:04.723Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=106461 ack_latency_ms=- data_freshness_ms=106461 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:04.784Z | WARNING | core.alerts | 231054 | EURUSD | 100001 | alert code=DATA_STALE account=231054 symbol=EURUSD magic=100001 market data stale freshness_ms=106461 threshold_ms=15000
2026-07-08T20:51:04.784Z | ERROR | core.alerts | 231054 | EURUSD | 100001 | alert code=VALIDATION_FAILURE account=231054 symbol=EURUSD magic=100001 instance cycle validation failed
2026-07-08T20:51:04.787Z | INFO | core.orchestrator | - | - | - | runtime cycle end instances=1 completed=0 failed=1
2026-07-08T20:51:04.788Z | INFO | core.monitoring | - | - | - | runtime monitoring summary instances=1 completed=0 failed=1 error_count=1
2026-07-08T20:51:04.788Z | INFO | core.performance | 231054 | EURUSD | 100001 | performance account=231054 symbol=EURUSD magic=100001 cycle_duration_ms=258 load_duration_ms=229 analysis_duration_ms=0 decision_duration_ms=0 io_wait_ms=229 memory_rss_mb=28.70
2026-07-08T20:51:05.852Z | INFO | core.orchestrator | - | - | - | runtime cycle begin instances=1
2026-07-08T20:51:06.010Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=107852 ack_latency_ms=- data_freshness_ms=107852 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:06.071Z | WARNING | core.alerts | 231054 | EURUSD | 100001 | alert code=DATA_STALE account=231054 symbol=EURUSD magic=100001 market data stale freshness_ms=107852 threshold_ms=15000
2026-07-08T20:51:06.071Z | ERROR | core.alerts | 231054 | EURUSD | 100001 | alert code=VALIDATION_FAILURE account=231054 symbol=EURUSD magic=100001 instance cycle validation failed
2026-07-08T20:51:06.075Z | INFO | core.orchestrator | - | - | - | runtime cycle end instances=1 completed=0 failed=1
2026-07-08T20:51:06.075Z | INFO | core.monitoring | - | - | - | runtime monitoring summary instances=1 completed=0 failed=1 error_count=1
2026-07-08T20:51:06.075Z | INFO | core.performance | 231054 | EURUSD | 100001 | performance account=231054 symbol=EURUSD magic=100001 cycle_duration_ms=154 load_duration_ms=125 analysis_duration_ms=0 decision_duration_ms=0 io_wait_ms=125 memory_rss_mb=28.70
2026-07-08T20:51:07.139Z | INFO | core.orchestrator | - | - | - | runtime cycle begin instances=1
2026-07-08T20:51:07.291Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=109139 ack_latency_ms=- data_freshness_ms=109139 error_count=1 error_rate_per_min=1.00
